dataset,classifier,method,p_value_raw,effect_size_cohens_d,effect_size_glass_delta,test_statistic,test_type,mean_baseline,mean_method,practical_significance,baseline_std,method_std,p_value_corrected,significant
WineSklearn,SVM,RandomOver,1.0,0.6324555320336807,0.4472135954999613,5.0,wilcoxon,0.9913043478260869,1.0,False,0.017391304347826077,0.0,1.0,False
WineSklearn,SVM,SMOTE,1.0,0.6324555320336807,0.4472135954999613,5.0,wilcoxon,0.9913043478260869,1.0,False,0.017391304347826077,0.0,1.0,False
WineSklearn,SVM,BorderlineSMOTE,1.0,0.0,0.0,0.0,wilcoxon,0.9913043478260869,0.9913043478260869,False,0.017391304347826077,0.017391304347826077,1.0,False
WineSklearn,SVM,SMOTETomek,1.0,0.6324555320336807,0.4472135954999613,5.0,wilcoxon,0.9913043478260869,1.0,False,0.017391304347826077,0.0,1.0,False
WineSklearn,SVM,SMOTEENN,1.0,0.03723549116671562,0.03577708763999942,5.0,wilcoxon,0.9913043478260869,0.992,False,0.017391304347826077,0.016000000000000014,1.0,False
WineSklearn,BalancedRF,RandomOver,0.17834539038149466,0.5834347171409948,0.48280859178198166,-1.6304267715191725,paired_t_test,0.9651225296442687,0.9833043478260869,False,0.03368273233003752,0.02047747621500525,0.8917269519074733,False
WineSklearn,BalancedRF,SMOTE,0.17834539038149466,0.5834347171409948,0.48280859178198166,-1.6304267715191725,paired_t_test,0.9651225296442687,0.9833043478260869,False,0.03368273233003752,0.02047747621500525,0.8917269519074733,False
WineSklearn,BalancedRF,BorderlineSMOTE,,0.0,0.0,,paired_t_test,0.9651225296442687,0.9651225296442687,False,0.03368273233003752,0.03368273233003752,,False
WineSklearn,BalancedRF,SMOTETomek,0.17834539038149466,0.5834347171409948,0.48280859178198166,-1.6304267715191725,paired_t_test,0.9651225296442687,0.9833043478260869,False,0.03368273233003752,0.02047747621500525,0.8917269519074733,False
WineSklearn,BalancedRF,SMOTEENN,0.17834539038149466,0.5834347171409948,0.48280859178198166,-1.6304267715191725,paired_t_test,0.9651225296442687,0.9833043478260869,False,0.03368273233003752,0.02047747621500525,0.8917269519074733,False
WineSklearn,MLP,RandomOver,,0.0,0.0,,paired_t_test,1.0,1.0,False,0.0,0.0,,False
WineSklearn,MLP,SMOTE,,0.0,0.0,,paired_t_test,1.0,1.0,False,0.0,0.0,,False
WineSklearn,MLP,BorderlineSMOTE,,0.0,0.0,,paired_t_test,1.0,1.0,False,0.0,0.0,,False
WineSklearn,MLP,SMOTETomek,,0.0,0.0,,paired_t_test,1.0,1.0,False,0.0,0.0,,False
WineSklearn,MLP,SMOTEENN,0.016130089900092532,-2.529822128134703,0.0,4.0,paired_t_test,1.0,0.968,False,0.0,0.016000000000000014,0.08065044950046266,False
CreditFraud,RandomForest,RandomOver,0.1875,1.024605163281729,1.1170680352276565,2.0,wilcoxon,0.22035573122529648,0.3013607873607874,True,0.06486008240428422,0.0761175876880324,0.375,False
CreditFraud,RandomForest,SMOTE,0.0625,4.353788259133203,4.579883000481232,0.0,wilcoxon,0.22035573122529648,0.5524695039306045,True,0.06486008240428422,0.07143789357733038,0.375,False
CreditFraud,RandomForest,BorderlineSMOTE,0.0625,4.693698289778791,3.721610650956132,0.0,wilcoxon,0.22035573122529648,0.49023121793520275,True,0.06486008240428422,0.03290429815254452,0.375,False
CreditFraud,RandomForest,ADASYN,0.0625,4.74506925022178,3.714551428621428,0.0,wilcoxon,0.22035573122529648,0.48971931294511933,True,0.06486008240428422,0.030808544140327514,0.375,False
CreditFraud,RandomForest,SMOTETomek,0.0625,4.353788259133203,4.579883000481232,0.0,wilcoxon,0.22035573122529648,0.5524695039306045,True,0.06486008240428422,0.07143789357733038,0.375,False
CreditFraud,RandomForest,SMOTEENN,0.0625,5.201462521947216,4.522182287883416,0.0,wilcoxon,0.22035573122529648,0.5482852919438285,True,0.06486008240428422,0.04639800769329763,0.375,False
CreditFraud,LogisticRegression,RandomOver,0.003467476982581149,-4.696139733124172,-3.546589531644855,6.187492536112813,paired_t_test,0.5101149425287356,0.30497951188727296,True,0.05173384327847684,0.01940507197474197,0.017337384912905745,True
CreditFraud,LogisticRegression,SMOTE,0.003520024635396413,-4.4023419785026485,-3.2011806565685226,6.162269827153601,paired_t_test,0.5101149425287356,0.3249580286296107,True,0.05173384327847684,0.012405979559323254,0.017337384912905745,True
